Country Code;Country Name;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002;2001;2000;1999;1998;1997;1996;1995;1994;1993;1992;1991;1990;1989;1988;1987;1986;1985;1984;1983;1982;1981;1980;1979;1978;1977;1976;1975;1974;1973;1972;1971;1970;1969;1968;1967;1966;1965;1964;1963;1962;1961;1960;1959;1958;1957;1956;1955;1954;1953;1952;1951;1950;1949;1948;1947;1946;1945;1944;1943;1942;1941;1940;1939;1938;1937;1936;1935;1934;1933;1932;1931;1930;1929;1928;1927;1926;1925;1924;1923;1922;1921;1920;1919;1918;1917;1916;1915;1914;1913;1912;1911;1910;1909;1908;1907;1906;1905;1904;1903;1902;1901;1900
CHN;CHINA P REP;500090;27468870;44562685;124272883;180656677;128762751;136975954;120116276;88739422;83943283;52949587;219552435;285294831;40366434;25401373;131415462;254900724;15841183;175303473;143223902;226377777;8799913;28930168;218875483;48277041;138272356;76257361;2578718;14446346;235920;28040;40063;816148;3212990;107200;4104;6000000;;164000;0;0;;;;14000;0;;;0;0;0;;;;;0;;0;0;113;300;;;0;10000000;0;0;;;;;;0;;;0;;;;10030000;0;3600000;0;0;;;0;0;;0;;0;0;;20000000;;0;635000;;3000000;;;0;0;0;0;;0;0;;;;;;
COL;COLOMBIA;8978;44128;151917;1487698;2796760;31850;1274219;1613518;238465;604940;540020;74838;126538;13732;79430;1360723;100000;15000;183310;104201;55385;86852;1635;15121;20625;0;232700;7286;278000;12700;0;36740;0;14000;50;113642;;100;16;;1000;5172;0;0;5112006;70000;1083;40200;;0;;;0;;;0;;;;;0;;;;40000;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;0;;;;;;
COM;COMOROS;6788;;65137;;;2500;;1490;924;285358;;300;;;;140;3200;;;;;;;200;;450;;50000;;35000;;30052;;0;;;;25000;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;
COG;CONGO;;1071;9671;10819;524;;630;25000;8030;3507;;2;53015;13;0;42099;20000;485;;;16500;;;;;;;;;;;0;;;;;;;;;;;;;;;;668;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
COK;COOK IS;;;;;2202;1247;;;;608;;;;744;;;;1023;;;;;;;1200;;;2000;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;0;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CRI;COSTA RICA;;12000;10285;46695;3106;128618;209498;24500;;4072;3336;2635;95040;1437;200;9993;17150;;736000;12848;2556;38691;1200;195590;14609;;140000;;;;;5535;;;1350;;;;70000;0;;3745;;;15240;4603;15671;;;;;5200;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;
CIV;COTE D'IVOIRE;;;;;6425;10006;450;2150;451;210;;;861;3180;;;;;0;2027;;;;50;;7000;;;;;;0;;;;;;;;;;;;;1500;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HRV;CROATIA;;;1500;;1110;;;26;0;250;;0;;1200;800;;;0;2000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CUB;CUBA;;227;123496;;;;519464;210488;1768;2600000;247250;600;358970;5900012;675;254990;967000;35823;347542;33343;149158;771133;14996;;11000;;151512;0;7500;501891;;164575;180000;0;0;;170;18000;8;;;;;;0;;0;;174030;;0;0;;;;;;;;;;;;;;;300;;;;0;;;;;;;;;500;;;0;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;
CYP;CYPRUS;;;;;;;;0;;;10;30;;;400;;100;;280;1865;;;;0;;;;;;;;0;;;;;;;;;;;;;0;3100;;;;;;;;;;;;;;;;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
